姓名,岗位,能力标签,历史绩效,技能特长,培训记录,入职日期
员工19,管理岗位,"项目管理, 领导力, 科研能力, 团队协作, 数据分析",2.62,"项目管理, 领导力, 科研能力, 团队协作, 数据分析",课程D,2022-11-22
员工20,教学岗位,"领导力, 数据分析, 团队协作, 沟通能力, 项目管理, 教学设计, 科研能力",2.83,"领导力, 数据分析, 团队协作, 沟通能力, 项目管理, 教学设计, 科研能力",无,2020-07-23
员工21,管理岗位,"团队协作, 科研能力, 项目管理, 教学设计, 沟通能力",1.97,"团队协作, 科研能力, 项目管理, 教学设计, 沟通能力",课程C,2022-12-28
员工22,管理岗位,"领导力, 科研能力, 沟通能力",4.71,"领导力, 科研能力, 沟通能力",课程B,2024-11-25
员工23,科研岗位,"团队协作, 科研能力, 沟通能力, 项目管理, 教学设计",1.98,"团队协作, 科研能力, 沟通能力, 项目管理, 教学设计",课程B,2022-10-09
员工24,管理岗位,"教学设计, 科研能力, 领导力, 沟通能力",1.56,"教学设计, 科研能力, 领导力, 沟通能力",课程B,2024-11-01
员工25,教学岗位,"数据分析, 项目管理, 沟通能力, 教学设计, 科研能力",4.02,"数据分析, 项目管理, 沟通能力, 教学设计, 科研能力",课程A,2022-02-13
员工26,管理岗位,"团队协作, 沟通能力, 领导力, 教学设计, 数据分析, 项目管理, 科研能力",3.74,"团队协作, 沟通能力, 领导力, 教学设计, 数据分析, 项目管理, 科研能力",课程D,2022-12-07
员工27,管理岗位,"沟通能力, 教学设计, 数据分析, 科研能力, 领导力, 团队协作, 项目管理",3.82,"沟通能力, 教学设计, 数据分析, 科研能力, 领导力, 团队协作, 项目管理",课程B,2020-12-08
员工28,科研岗位,"教学设计, 领导力, 项目管理, 沟通能力",2.78,"教学设计, 领导力, 项目管理, 沟通能力",课程A,2021-09-23
员工29,管理岗位,沟通能力,2.78,沟通能力,无,2021-07-13
员工30,科研岗位,科研能力,2.95,科研能力,课程C,2021-09-08
员工31,教学岗位,项目管理,2.0,项目管理,课程A,2022-08-21
员工32,教学岗位,"领导力, 科研能力, 团队协作",4.85,"领导力, 科研能力, 团队协作",无,2022-01-24
员工33,科研岗位,"沟通能力, 领导力, 数据分析, 团队协作",1.64,"沟通能力, 领导力, 数据分析, 团队协作",课程B,2023-10-19
员工34,教学岗位,科研能力,4.67,科研能力,课程C,2022-05-24
员工35,科研岗位,"沟通能力, 领导力, 教学设计, 科研能力, 数据分析",3.4,"沟通能力, 领导力, 教学设计, 科研能力, 数据分析",课程B,2023-08-30
员工36,管理岗位,"科研能力, 团队协作, 项目管理, 数据分析",1.9,"科研能力, 团队协作, 项目管理, 数据分析",课程B,2020-03-18
员工37,科研岗位,"数据分析, 科研能力, 教学设计, 沟通能力, 项目管理, 领导力, 团队协作",4.42,"数据分析, 科研能力, 教学设计, 沟通能力, 项目管理, 领导力, 团队协作",课程C,2024-06-05
员工38,管理岗位,"项目管理, 团队协作, 数据分析, 教学设计, 领导力, 沟通能力, 科研能力",2.94,"项目管理, 团队协作, 数据分析, 教学设计, 领导力, 沟通能力, 科研能力",无,2024-01-23
员工39,教学岗位,"教学设计, 科研能力",2.37,"教学设计, 科研能力",课程A,2022-10-23
员工40,科研岗位,"领导力, 团队协作, 沟通能力",4.99,"领导力, 团队协作, 沟通能力",无,2022-06-28
员工41,科研岗位,"数据分析, 科研能力, 领导力, 沟通能力, 项目管理, 团队协作, 教学设计",4.3,"数据分析, 科研能力, 领导力, 沟通能力, 项目管理, 团队协作, 教学设计",课程D,2021-10-07
员工42,科研岗位,"领导力, 数据分析, 团队协作, 项目管理",4.84,"领导力, 数据分析, 团队协作, 项目管理",课程A,2024-04-02
员工43,科研岗位,领导力,1.3,领导力,无,2025-05-19
员工44,科研岗位,"团队协作, 教学设计, 数据分析, 沟通能力, 项目管理, 科研能力",2.45,"团队协作, 教学设计, 数据分析, 沟通能力, 项目管理, 科研能力",无,2025-06-02
员工45,管理岗位,"领导力, 数据分析, 团队协作, 沟通能力, 项目管理, 科研能力",3.6,"领导力, 数据分析, 团队协作, 沟通能力, 项目管理, 科研能力",课程D,2020-12-14
员工46,科研岗位,"领导力, 数据分析, 沟通能力, 团队协作, 教学设计",2.3,"领导力, 数据分析, 沟通能力, 团队协作, 教学设计",课程D,2021-08-12
员工47,教学岗位,"团队协作, 数据分析, 教学设计",1.37,"团队协作, 数据分析, 教学设计",课程C,2020-11-20
员工48,教学岗位,"项目管理, 科研能力",4.06,"项目管理, 科研能力",课程A,2024-03-08
员工49,科研岗位,"数据分析, 项目管理, 教学设计, 科研能力, 领导力, 团队协作, 沟通能力",1.89,"数据分析, 项目管理, 教学设计, 科研能力, 领导力, 团队协作, 沟通能力",课程C,2024-02-06
员工50,教学岗位,"数据分析, 领导力, 团队协作, 项目管理",4.75,"数据分析, 领导力, 团队协作, 项目管理",课程A,2023-11-24
员工51,教学岗位,"数据分析, 科研能力, 项目管理, 团队协作",1.45,"数据分析, 科研能力, 项目管理, 团队协作",无,2020-08-03
员工52,教学岗位,"科研能力, 项目管理, 教学设计, 团队协作, 领导力, 数据分析, 沟通能力",1.76,"科研能力, 项目管理, 教学设计, 团队协作, 领导力, 数据分析, 沟通能力",课程B,2024-05-23
员工53,科研岗位,"沟通能力, 项目管理, 数据分析, 科研能力, 领导力, 团队协作, 教学设计",1.12,"沟通能力, 项目管理, 数据分析, 科研能力, 领导力, 团队协作, 教学设计",无,2024-04-27
员工54,管理岗位,教学设计,4.51,教学设计,课程A,2023-08-15
员工55,科研岗位,"数据分析, 团队协作, 沟通能力, 项目管理, 科研能力, 领导力, 教学设计",2.64,"数据分析, 团队协作, 沟通能力, 项目管理, 科研能力, 领导力, 教学设计",课程B,2022-03-23
员工56,管理岗位,"团队协作, 教学设计, 数据分析, 领导力, 沟通能力, 项目管理",3.88,"团队协作, 教学设计, 数据分析, 领导力, 沟通能力, 项目管理",课程D,2025-05-29
员工57,科研岗位,"项目管理, 科研能力, 领导力, 数据分析, 教学设计",2.24,"项目管理, 科研能力, 领导力, 数据分析, 教学设计",课程C,2020-02-15
员工58,管理岗位,"项目管理, 数据分析, 沟通能力, 团队协作, 领导力, 科研能力, 教学设计",3.5,"项目管理, 数据分析, 沟通能力, 团队协作, 领导力, 科研能力, 教学设计",无,2023-06-24
员工59,管理岗位,"团队协作, 教学设计, 领导力, 项目管理, 沟通能力, 数据分析",4.53,"团队协作, 教学设计, 领导力, 项目管理, 沟通能力, 数据分析",课程B,2021-05-22
员工60,教学岗位,"沟通能力, 数据分析, 团队协作, 科研能力, 项目管理, 教学设计",3.95,"沟通能力, 数据分析, 团队协作, 科研能力, 项目管理, 教学设计",课程C,2020-05-30
员工61,教学岗位,"科研能力, 数据分析, 项目管理, 教学设计, 领导力, 团队协作",2.14,"科研能力, 数据分析, 项目管理, 教学设计, 领导力, 团队协作",课程B,2024-08-23
员工62,管理岗位,"项目管理, 数据分析",1.78,"项目管理, 数据分析",无,2020-05-28
员工63,科研岗位,"项目管理, 教学设计, 科研能力, 领导力",2.24,"项目管理, 教学设计, 科研能力, 领导力",无,2022-03-16
员工64,教学岗位,沟通能力,1.58,沟通能力,课程C,2020-11-29
员工65,教学岗位,"领导力, 数据分析",2.92,"领导力, 数据分析",课程D,2021-11-13
员工66,教学岗位,数据分析,3.75,数据分析,课程D,2023-12-27
员工67,科研岗位,"教学设计, 领导力, 团队协作, 项目管理, 沟通能力",3.77,"教学设计, 领导力, 团队协作, 项目管理, 沟通能力",课程A,2023-12-04
员工68,科研岗位,"团队协作, 教学设计, 沟通能力",4.78,"团队协作, 教学设计, 沟通能力",课程C,2023-05-13
员工69,管理岗位,科研能力,2.5,科研能力,无,2020-02-02
员工70,教学岗位,教学设计,3.95,教学设计,无,2020-03-05
员工71,管理岗位,"项目管理, 领导力, 团队协作, 沟通能力, 科研能力",2.23,"项目管理, 领导力, 团队协作, 沟通能力, 科研能力",课程A,2024-11-13
员工72,管理岗位,"沟通能力, 团队协作, 教学设计, 项目管理",4.35,"沟通能力, 团队协作, 教学设计, 项目管理",课程B,2021-02-22
员工73,科研岗位,"团队协作, 领导力, 项目管理, 沟通能力, 科研能力, 数据分析, 教学设计",2.02,"团队协作, 领导力, 项目管理, 沟通能力, 科研能力, 数据分析, 教学设计",无,2021-03-02
员工74,教学岗位,"科研能力, 领导力, 教学设计",4.35,"科研能力, 领导力, 教学设计",无,2020-04-06
员工75,科研岗位,"数据分析, 领导力, 团队协作, 沟通能力",2.79,"数据分析, 领导力, 团队协作, 沟通能力",无,2020-11-07
员工76,科研岗位,"团队协作, 科研能力, 项目管理, 数据分析, 教学设计, 沟通能力",4.69,"团队协作, 科研能力, 项目管理, 数据分析, 教学设计, 沟通能力",课程A,2022-08-14
员工77,教学岗位,"项目管理, 沟通能力, 领导力, 教学设计, 科研能力, 团队协作, 数据分析",4.97,"项目管理, 沟通能力, 领导力, 教学设计, 科研能力, 团队协作, 数据分析",无,2021-01-11
员工78,科研岗位,"领导力, 团队协作, 科研能力",1.39,"领导力, 团队协作, 科研能力",课程C,2022-06-03
员工79,管理岗位,教学设计,2.38,教学设计,课程B,2022-08-23
员工80,教学岗位,"数据分析, 领导力, 团队协作",2.79,"数据分析, 领导力, 团队协作",课程B,2023-03-01
员工81,管理岗位,团队协作,4.95,团队协作,课程A,2025-04-02
员工82,教学岗位,"领导力, 数据分析, 团队协作, 项目管理, 沟通能力, 科研能力, 教学设计",2.63,"领导力, 数据分析, 团队协作, 项目管理, 沟通能力, 科研能力, 教学设计",课程A,2023-08-26
员工83,管理岗位,"教学设计, 领导力, 科研能力, 项目管理, 沟通能力, 团队协作, 数据分析",4.09,"教学设计, 领导力, 科研能力, 项目管理, 沟通能力, 团队协作, 数据分析",课程B,2024-12-31
员工84,管理岗位,"团队协作, 科研能力, 教学设计, 领导力, 数据分析, 项目管理, 沟通能力",3.97,"团队协作, 科研能力, 教学设计, 领导力, 数据分析, 项目管理, 沟通能力",课程C,2021-11-04
员工85,管理岗位,"沟通能力, 团队协作",2.15,"沟通能力, 团队协作",无,2020-08-27
员工86,教学岗位,"项目管理, 团队协作, 科研能力, 沟通能力, 领导力",4.74,"项目管理, 团队协作, 科研能力, 沟通能力, 领导力",课程B,2023-12-06
员工87,科研岗位,"沟通能力, 团队协作, 数据分析, 领导力, 教学设计",2.73,"沟通能力, 团队协作, 数据分析, 领导力, 教学设计",课程D,2023-10-22
员工88,教学岗位,"科研能力, 教学设计, 数据分析, 团队协作, 项目管理",1.54,"科研能力, 教学设计, 数据分析, 团队协作, 项目管理",课程C,2021-11-21
员工89,科研岗位,"沟通能力, 教学设计",3.59,"沟通能力, 教学设计",无,2022-03-29
员工90,教学岗位,"领导力, 教学设计, 数据分析, 团队协作, 项目管理",4.26,"领导力, 教学设计, 数据分析, 团队协作, 项目管理",课程A,2021-10-14
员工91,教学岗位,"项目管理, 数据分析, 科研能力, 教学设计, 沟通能力",4.16,"项目管理, 数据分析, 科研能力, 教学设计, 沟通能力",课程D,2021-05-01
员工92,管理岗位,"数据分析, 教学设计, 领导力, 团队协作",2.44,"数据分析, 教学设计, 领导力, 团队协作",无,2020-07-04
员工93,教学岗位,"科研能力, 项目管理, 教学设计, 沟通能力, 团队协作, 数据分析",1.29,"科研能力, 项目管理, 教学设计, 沟通能力, 团队协作, 数据分析",课程A,2022-04-22
员工94,教学岗位,"领导力, 项目管理, 沟通能力, 教学设计, 团队协作, 数据分析",2.73,"领导力, 项目管理, 沟通能力, 教学设计, 团队协作, 数据分析",课程C,2021-05-18
员工95,管理岗位,科研能力,4.51,科研能力,课程D,2020-11-22
员工96,科研岗位,教学设计,3.26,教学设计,无,2020-09-04
员工97,科研岗位,团队协作,3.59,团队协作,课程B,2023-08-29
员工98,科研岗位,"科研能力, 项目管理",3.53,"科研能力, 项目管理",课程D,2021-08-30
员工99,管理岗位,"团队协作, 教学设计, 沟通能力, 项目管理, 领导力, 数据分析, 科研能力",4.95,"团队协作, 教学设计, 沟通能力, 项目管理, 领导力, 数据分析, 科研能力",无,2024-10-30
员工100,管理岗位,"团队协作, 领导力",4.03,"团队协作, 领导力",无,2022-11-02
