staffId,courseCount,studentEvaluation,awards,publications,patents,projectFunding,position,teamSize,collaborations,innovativeProjects,teaching,research,management,innovation
S059,4,3.8220740266364626,1,11,8,504492,Department Head,23,6,2,4.821248007080608,4.448206658546277,3.520466735903055,3.5050174993767644
S060,8,3.066101465801097,0,15,2,653983,Department Head,25,2,2,4.249522542086503,4.274463159578974,4.030495848629451,3.002058959691267
S061,7,3.690142496053366,2,18,8,415916,Manager,9,2,1,3.6717317142996704,4.961153600359976,3.982372681737253,3.317876566553513
S062,9,4.268702689402728,2,4,6,821052,Department Head,22,7,3,4.65021466284532,4.80672762527205,4.992671551613449,3.9370788335371687
S063,8,4.361410903109533,0,13,3,758574,Team Leader,32,4,4,3.7261184243901813,4.293329838234326,4.794872296092407,4.88860726991566
S064,5,4.061869166634272,1,4,2,128148,Manager,46,3,0,3.0684562216410582,4.38635042291385,3.92676149643124,3.204387239387438
S065,2,3.8955663291461833,2,14,9,806991,Department Head,26,7,3,4.6613090131304995,3.1031916133174198,4.245874765870237,4.708419548923132
S066,5,4.105786178142656,1,16,4,486261,Manager,25,5,2,3.690384289762551,4.339834929100078,4.495743208184457,4.054048192423724
S067,8,4.185393447758787,1,13,4,355540,Department Head,10,1,3,4.547669046402681,3.0883308754202003,3.0697303204676496,4.651841531599793
S068,9,3.1617066526654307,2,19,2,192714,Department Head,5,3,4,3.725515789331891,4.176527513939862,4.78984288245568,3.596748861979985
S069,9,3.7393089121228087,1,4,8,731899,Department Head,9,3,0,4.722136039949444,4.99870699913167,4.720253632835847,4.679894329344943
S070,1,3.484319876554852,2,11,3,283876,Team Leader,45,5,0,3.4390210501619176,4.1116131628743595,3.9148641955474144,4.545645560033609
S071,9,4.606279512759792,1,15,4,259747,Team Leader,16,5,4,4.94909453039774,3.946420236162667,3.7823395321607594,3.460107366062868
S072,7,3.9406012688920766,2,15,3,615650,Manager,30,0,4,4.559517549576062,3.625709713011175,3.54591874971263,3.262670252818756
S073,9,4.966846281789686,0,6,4,423570,Department Head,38,7,2,3.228475851840794,3.2410451575729287,3.953353656660737,4.7361086450645855
S074,8,3.797648884889106,2,3,6,275987,Department Head,18,5,0,4.131553239933121,4.462047342916563,3.0887533270664735,4.926473306880264
S075,1,4.632863746438768,2,0,8,638353,Team Leader,30,2,3,4.97073462448347,3.385198055571261,4.704387066694015,3.0626046274950323
S076,8,4.596690249969102,2,4,6,858158,Department Head,49,8,1,3.9421309053876286,3.230564042494569,3.07084473683709,4.462540133947371
S077,8,3.3014350879308587,2,9,4,17640,Team Leader,31,1,1,3.3642142776431667,3.8435253194610253,3.658102730739742,4.819049021895637
S078,3,4.016397553481437,1,4,9,52528,Department Head,13,7,4,3.969556734300692,4.590683675918195,4.86317897663798,4.714720184184998
S079,1,4.3916256135817635,0,3,9,824845,Manager,30,9,2,4.024915311763843,4.490129096240441,4.470425309046906,4.929040944540417
S080,8,4.716717609627439,2,1,6,259214,Department Head,26,2,1,4.483373888457331,3.10976522929295,3.5627819211550538,4.520188156876195
S081,3,3.6519178104037695,1,19,9,839070,Department Head,34,4,0,4.397691706321809,3.910287370072312,3.5052981879217704,3.8845975247618205
S082,3,3.4404820951310966,0,9,4,970240,Team Leader,47,5,4,3.805100087193961,4.044869152142338,3.0101642796360517,3.623903980990261
S083,1,4.422299064876036,0,18,2,501108,Department Head,21,9,3,3.436046214988173,4.289093301251644,4.391428585699501,3.6414854808762547
S084,5,4.61900209227943,0,0,6,634421,Department Head,30,5,4,4.290108335538659,4.300334700886456,3.097567163346346,4.448845345228234
S085,7,3.6973319745834585,0,4,1,368501,Team Leader,40,3,3,3.8434078691065636,3.729394498914612,4.065205038801524,4.491674024061929
S086,9,3.1923531021828415,2,12,8,724226,Manager,5,2,4,3.264552422250661,4.121354388007028,4.9242439451841,3.4007182870974253
S087,7,4.881046528979208,2,3,9,150159,Manager,12,3,4,4.801144602472771,3.9621237676881726,3.218937720108908,4.736245626981062
S088,9,3.7951440421750444,1,15,9,172502,Team Leader,39,0,4,4.382443715219309,4.769996713046562,4.788959861936135,4.429848080404495
S089,8,4.03550270105496,1,15,0,155576,Team Leader,19,3,3,4.366367712890963,4.060530265269801,4.982950670290096,4.125500572686765
S090,2,4.6754202118146555,1,1,5,924618,Team Leader,26,0,3,4.645167751823347,3.8820643234963232,3.12303405247847,3.9430649202050256
S091,1,4.351380234078562,0,16,6,865291,Team Leader,18,0,4,4.059323357310162,3.8089708993637013,4.765812538274923,4.086465611579916
S092,7,4.4704322384815445,0,19,7,886089,Team Leader,30,9,1,4.630108856804914,4.144855518866931,4.032158040887233,3.318491476558529
S093,7,3.4181432414754274,2,11,9,928479,Manager,32,5,2,3.9961815070220115,4.6079539588017955,4.81302743888916,3.4074024985525484
S094,8,4.082895947655132,0,17,8,11023,Manager,27,4,2,3.13435079983142,4.076802980761575,4.142637883839148,3.1823289808123834
S095,5,4.391568798690164,0,2,1,545735,Team Leader,18,3,2,3.8104961760553775,4.3233103501610834,4.324224020213129,3.307316076322225
S096,3,3.4571000435945995,0,0,9,388043,Department Head,28,2,3,3.994929787959781,4.47571153381305,4.087557815994798,3.9073872692105653
S097,8,3.349909854191872,1,0,1,286103,Team Leader,6,0,3,4.440405163264591,4.040336219757464,4.728985760614697,4.060708787456512
S098,6,4.964336686658871,1,18,4,66203,Department Head,49,5,1,3.2131574602573485,3.8536341133097287,4.4678198379074034,3.0357237849566387
S099,3,4.033271782542029,2,10,4,905588,Team Leader,30,1,2,3.280037077320898,4.753330755724899,4.042520624360829,4.5935956557280555
S100,1,3.521658349660818,0,4,5,160775,Team Leader,18,7,2,3.527367605269233,3.8350121680557843,4.736321608103093,3.5883359466869558
