staffId,teaching,research,management,innovation,yearsOfExperience,educationLevel,capability_tags,potential_tags,development_tags
S033,3.130103185970559,3.239730734667366,4.153807769252718,3.0287869772595117,18,Master,教学能手,创新先锋,需强化科研
S034,4.897771074506666,3.675230342807256,3.985035387637728,3.2321452810138327,15,Master,科研骨干,高潜后备,管理能力待提升
S035,4.931264066149119,4.885819407825038,3.390485975596089,3.0920052840435055,12,Master,教学能手,高潜后备,创新转化不足
S036,4.6167946962329225,3.6464058640415105,4.444904230523011,3.08145760463794,9,PhD,管理专家,高潜后备,创新转化不足
S037,3.609227538346741,4.037581243486732,3.5615447248817116,4.710921168022015,10,Bachelor,科研骨干,高潜后备,管理能力待提升
S038,3.1953442280127677,4.406037917790355,3.0486319328629077,4.407315718760048,12,Bachelor,管理专家,高潜后备,创新转化不足
S039,4.368466053024314,3.727259204758588,4.290944591814336,3.9483476581746504,17,PhD,科研骨干,创新先锋,需强化科研
S040,3.8803049874792026,4.943564165441922,3.354221358814098,3.195668321302003,6,Bachelor,管理专家,高潜后备,需强化科研
S041,3.2440764696895577,4.9248945898842225,4.880917168705828,3.9832317502336645,7,Master,教学能手,高潜后备,管理能力待提升
S042,3.9903538202225404,3.5035645916507283,4.907857154005175,3.946943541561131,14,Bachelor,教学能手,创新先锋,管理能力待提升
S043,3.068777042230437,3.994497011784771,4.829728780440897,3.3464037398200306,13,Master,教学能手,高潜后备,管理能力待提升
S044,4.818640804157564,3.601756619633539,3.7403174005108886,3.867703298475946,8,PhD,科研骨干,创新先锋,创新转化不足
S045,3.517559963200034,3.5696809887549352,3.030913233057735,3.797009468794747,10,Bachelor,教学能手,创新先锋,需强化科研
S046,4.325044568707964,3.0737738947090656,4.8566371251754505,4.231700196104433,9,PhD,科研骨干,创新先锋,需强化科研
S047,3.623422152178822,4.219128667959794,3.8563682966346287,4.270187301735287,18,Bachelor,教学能手,高潜后备,创新转化不足
S048,4.040136042355622,4.005358046457723,4.933309638087339,3.090608019544089,2,Master,教学能手,高潜后备,需强化科研
S049,4.093420558686559,3.1029575024999785,4.927239954178505,3.7492252292529424,5,PhD,科研骨干,高潜后备,管理能力待提升
S050,3.3697089110510543,3.557292928473223,4.70601891093472,4.251719831428472,5,Bachelor,科研骨干,创新先锋,管理能力待提升
S051,4.939169255529118,4.816531771933308,3.5888977841391716,4.006272517160175,6,Master,教学能手,高潜后备,管理能力待提升
S052,4.550265646722229,3.4791237813339446,3.7701954572038505,4.712979682376645,19,PhD,科研骨干,高潜后备,需强化科研
S053,4.8789978831283785,3.289789744182446,4.702273343033713,4.31738726323789,8,PhD,教学能手,高潜后备,管理能力待提升
S054,4.789654700855298,3.9789055205551263,3.633844010312555,3.3258688541628594,16,Bachelor,科研骨干,创新先锋,创新转化不足
S055,4.19579995762217,4.971300908221202,3.338985493372185,3.1411374948008595,13,Bachelor,管理专家,创新先锋,创新转化不足
S056,4.843748470046234,3.484110543023001,4.1136025249167005,4.284838556412631,1,Bachelor,管理专家,高潜后备,需强化科研
S057,3.176985004103839,4.3442710948117575,4.872309548321562,3.053022621083244,17,Master,管理专家,高潜后备,创新转化不足
S058,3.3919657248382906,4.523239230657435,4.392059593349946,4.171551162546926,7,Bachelor,管理专家,高潜后备,创新转化不足
S059,3.090454577821076,3.4752750879847993,4.1401223401787295,4.880460482849915,13,PhD,管理专家,高潜后备,需强化科研
S060,3.650660661526529,4.456432697223719,3.194352987541537,4.150948355751758,4,PhD,教学能手,创新先锋,管理能力待提升
S061,3.7773545793789642,3.7355662654385062,4.23001445339834,3.776339852413044,4,Bachelor,管理专家,创新先锋,管理能力待提升
S062,3.5426980635477916,4.264611661187159,4.980107700208526,4.286576436884706,6,Bachelor,管理专家,创新先锋,管理能力待提升
S063,4.657475018303859,4.26705942152179,3.280168030473048,3.9165057809830333,19,PhD,管理专家,创新先锋,需强化科研
S064,3.713506653387179,4.071549368149517,4.036659304727474,4.09123357863187,12,Master,管理专家,高潜后备,创新转化不足
S065,3.5618690193747615,3.1805795401088166,4.754746143855911,4.88292961755305,7,Bachelor,科研骨干,高潜后备,管理能力待提升
S066,4.085392166316497,4.670604991178476,4.481537235508409,3.7722052756015483,10,Bachelor,教学能手,高潜后备,管理能力待提升
S067,3.2818484499495253,3.6415601299434717,4.394031481990536,4.922381127647828,19,PhD,管理专家,创新先锋,需强化科研
S068,4.604393961508079,3.3730370207997087,4.404968167974219,4.8107012839121275,7,Bachelor,管理专家,高潜后备,管理能力待提升
S069,3.1491012873595414,3.081550283109528,3.7189823024395103,3.391582269578593,3,Master,管理专家,创新先锋,需强化科研
S070,4.973773873201035,4.181785886376484,3.5871836885289867,3.138722601750331,13,PhD,教学能手,创新先锋,创新转化不足
S071,4.544489538593314,4.355128723684565,4.618722310957027,3.2015560027548533,13,Bachelor,科研骨干,高潜后备,需强化科研
S072,3.397431363068345,3.033175657855712,4.6202267893583615,3.0364436513030997,18,PhD,教学能手,高潜后备,需强化科研
S073,3.011044234247205,4.024186116598562,4.734144637160208,3.188885921511857,8,Bachelor,科研骨干,高潜后备,需强化科研
S074,4.6309228569096685,3.452991550395876,4.826481105112943,4.366013546832714,9,Bachelor,管理专家,创新先锋,需强化科研
S075,4.413714687695235,4.2903455808189,4.022684797721876,3.1423772969204578,7,Bachelor,管理专家,高潜后备,创新转化不足
S076,4.458014336081975,3.348732858009983,4.003032589374399,3.6379512605875224,1,Master,教学能手,创新先锋,创新转化不足
S077,4.542540693371891,4.381875476204932,4.59659035793355,4.689750621938909,3,Master,教学能手,高潜后备,管理能力待提升
S078,3.148089303468181,3.773470692601075,4.29992786155553,3.046543871471652,13,PhD,科研骨干,创新先锋,创新转化不足
S079,3.7169314570885454,4.873459977473469,4.403933754515407,4.628936965177871,17,Bachelor,科研骨干,创新先锋,创新转化不足
S080,3.2317381190502594,3.2750418882919865,4.591585338872202,3.5637095495468,1,Bachelor,教学能手,高潜后备,管理能力待提升
S081,4.726206851751187,3.682132702100517,4.780010683635132,3.2363296552433125,6,Master,科研骨干,创新先锋,创新转化不足
S082,4.246596253655116,3.226947042481178,3.6759903137030716,4.393474330728301,6,Bachelor,教学能手,创新先锋,需强化科研
S083,3.6617960497052984,4.849387236557126,3.751165905279888,4.257885693559768,12,Master,科研骨干,高潜后备,需强化科研
S084,3.1271167005720475,4.754678706761962,3.187963879681738,4.754944027054106,13,Bachelor,教学能手,创新先锋,管理能力待提升
S085,3.6219646434313244,3.515883255430311,4.156560281992348,4.470142087607772,13,PhD,教学能手,高潜后备,管理能力待提升
S086,3.650366644053494,4.319968092068358,3.071884547593484,4.606961860769697,15,Bachelor,教学能手,创新先锋,管理能力待提升
S087,4.459212356676128,4.634444400402431,3.9311960362649203,3.564069145142613,16,Bachelor,科研骨干,高潜后备,需强化科研
S088,4.2751149427104265,4.110401623198925,4.085289269415153,3.3548790875594454,11,Master,科研骨干,高潜后备,创新转化不足
S089,4.774425485152653,4.059301156712013,3.573082504256569,4.501229503281717,5,Bachelor,科研骨干,创新先锋,需强化科研
S090,3.944429850323899,3.4837045818009034,4.1816665211380215,4.613669478534528,4,Bachelor,教学能手,创新先锋,管理能力待提升
S091,3.2391884918766034,3.1862055356117986,3.061000499878099,4.981010284001346,3,Master,科研骨干,创新先锋,创新转化不足
S092,4.42648957444599,4.794431515906654,3.074696377498429,3.825235353822853,19,PhD,科研骨干,创新先锋,创新转化不足
S093,4.521570097233795,4.8008361143266605,4.6452011213193165,3.7440361715855666,18,PhD,教学能手,创新先锋,需强化科研
S094,4.122554395138993,4.266202914546536,3.720381282822526,4.5528259214839935,15,Master,管理专家,高潜后备,管理能力待提升
S095,4.541934359909122,3.6780595820974016,3.2541210253037693,3.6816070805060357,9,Master,教学能手,创新先锋,需强化科研
S096,3.9875911927287815,3.698419149225322,4.044486520109609,4.86151465120713,17,Master,科研骨干,高潜后备,创新转化不足
S097,4.045465658763988,4.451911357740479,4.539987106197222,4.716825503686024,14,Master,教学能手,高潜后备,需强化科研
S098,3.855082036717099,4.794220519905155,3.431642054993686,3.8579880547500367,15,Master,管理专家,创新先锋,需强化科研
S099,3.05083825348819,4.774172848530235,4.245780951638,4.501742135582995,1,PhD,教学能手,高潜后备,管理能力待提升
S100,3.215782853986609,4.559751091715247,3.170694929987536,4.5090857481693645,3,PhD,科研骨干,高潜后备,管理能力待提升
